time,SWD,TSLWU
2025-02-03 03:19:59.995422363,0.0,-7.8234863
2025-02-03 03:30:00.000000000,0.0,-8.071777
2025-02-03 03:40:00.004577636,0.0,-8.239471
2025-02-03 03:49:59.995422363,0.0,-7.915619
2025-02-03 04:00:00.000000000,0.0,-7.6178894
2025-02-03 04:10:00.004577636,0.0,-8.2456665
2025-02-03 04:19:59.995422363,0.0,-8.064331
2025-02-03 04:30:00.000000000,0.0,-6.304352
2025-02-03 04:40:00.004577636,0.0,-7.434143
2025-02-03 04:49:59.995422363,0.0,-8.0686035
2025-02-03 05:00:00.000000000,0.0,-8.038025
2025-02-03 05:10:00.004577636,0.0,-8.329163
2025-02-03 05:19:59.995422363,0.0,-8.281128
2025-02-03 05:30:00.000000000,0.0,-8.265747
2025-02-03 05:40:00.004577636,0.0,-8.492126
2025-02-03 05:49:59.995422363,0.0,-8.410858
2025-02-03 06:00:00.000000000,0.0,-8.702209
2025-02-03 06:10:00.004577636,0.0,-8.562012
2025-02-03 06:19:59.995422363,0.0,-8.434387
2025-02-03 06:30:00.000000000,0.0,-8.739014
2025-02-03 06:40:00.004577636,0.0,-8.758057
2025-02-03 06:49:59.995422363,0.0,-8.572662
2025-02-03 07:00:00.000000000,1.2111238,-8.502411
2025-02-03 07:10:00.004577636,4.4651647,-6.450409
2025-02-03 07:19:59.995422363,11.168014,-6.0872803
2025-02-03 07:30:00.000000000,22.58853,-5.1991577
2025-02-03 07:40:00.004577636,39.666473,-5.2628174
2025-02-03 07:49:59.995422363,57.316578,-4.7435913
2025-02-03 08:00:00.000000000,75.58853,-3.85495
2025-02-03 08:10:00.004577636,96.19465,-3.03656
2025-02-03 08:19:59.995422363,117.03792,-2.520111
2025-02-03 08:30:00.000000000,125.45284,-2.123169
2025-02-03 08:40:00.004577636,151.10527,-1.6439209
2025-02-03 08:49:59.995422363,160.128,-1.1622314
2025-02-03 09:00:00.000000000,183.48038,-0.76071167
2025-02-03 09:10:00.004577636,206.94055,-0.35784912
2025-02-03 09:19:59.995422363,226.2236,0.026611328
2025-02-03 09:30:00.000000000,243.84624,0.5518799
2025-02-03 09:40:00.004577636,252.97578,0.9838867
2025-02-03 09:49:59.995422363,194.8795,1.1028137
2025-02-03 10:00:00.000000000,254.46732,1.6812744
2025-02-03 10:10:00.004577636,294.8252,2.1177979
2025-02-03 10:19:59.995422363,316.73535,2.5237732
2025-02-03 10:30:00.000000000,326.0893,2.9015198
2025-02-03 10:40:00.004577636,333.4001,3.2410278
2025-02-03 10:49:59.995422363,342.52097,3.6809998
2025-02-03 11:00:00.000000000,348.66684,3.9925842
2025-02-03 11:10:00.004577636,352.3751,4.599121
2025-02-03 11:19:59.995422363,358.16025,4.7221985
2025-02-03 11:30:00.000000000,351.88165,4.944336
2025-02-03 11:40:00.004577636,349.86435,5.042633
2025-02-03 11:49:59.995422363,358.9282,5.3168335
2025-02-03 12:00:00.000000000,358.50534,5.3602295
2025-02-03 12:10:00.004577636,356.6644,5.722473
2025-02-03 12:19:59.995422363,351.89633,6.053467
2025-02-03 12:30:00.000000000,346.57947,6.1021423
2025-02-03 12:40:00.004577636,345.26984,6.331024
2025-02-03 12:49:59.995422363,322.9494,6.2082825
2025-02-03 13:00:00.000000000,325.83124,6.2045593
2025-02-03 13:10:00.004577636,310.6159,6.1405945
2025-02-03 13:19:59.995422363,303.23328,6.258545
2025-02-03 13:30:00.000000000,294.08795,6.178955
2025-02-03 13:40:00.004577636,269.02155,5.5823364
2025-02-03 13:49:59.995422363,244.71481,5.2976685
2025-02-03 14:00:00.000000000,230.83371,5.086212
2025-02-03 14:10:00.004577636,210.83565,4.6847534
